distinction,chunk_id,location,type,printed_page,pdf_page,issue,current_rendering,proposed_disposition,status
d.45,bon-sent-I-d45-a1-q2,"line 269, Scholion I",scholion,802,392,"S. Thomas citation: ""S. [I.][?] q. 75.[?] in fine"" — OCR broke citation across column; printed says S. I. q. 75 but ""75"" partly obscured","Both numerals [?] flagged","Verify at 600dpi p.802 right col scholion I: confirm part (S. I.) and question (75 vs 19)",OPEN
d.45,bon-sent-I-d45-a2-q1,"line 195/197, [^8]",apparatus,803,393,"Right-column OCR fragmentary at ""i.non quantum Admodum. videtur"" (line 38047 raw); variant note possibly fused with body","[^8] retained with [?]; sense reconstructed as *Item, [non] quantum ad modum*","Verify at 600dpi p.803 right col footer 8: confirm whether printed footer has a separate variant or runs into body",OPEN
d.45,bon-sent-I-d45-a2-q1,"line 265-269, [^15]",apparatus,805,395,"OCR reads ""acim aeternus"" (raw line 38133); Quaracchi notes likely scribal error for *cyclus aeternus*","[?] flag with bracketed reconstruction","Verify printed p.805 footer 15 — likely confirm *cyclus aeternus* and drop [?]",OPEN
d.46,bon-sent-I-d46-a1-q4,"line 249, Scholion I",scholion,828,418,"Bl. Albert tractate reference: ""q. 25 [?]"" — second numeral partly worn between ""25"" and ""23""","q. 25 [?] retained","Verify at 600dpi p.828 Scholion I — confirm 25 vs 23",OPEN
d.46,bon-sent-I-d46-a1-q6,"line 249, [^19]",apparatus,832,422,"6-pt small-caps Quaracchi paraphrase: ""ultra contingens praemia"" read at low confidence","Verbatim transcription + best-effort English","Verify at 600dpi p.832 footer 19 — confirm ""contingens praemia""",OPEN
d.46,bon-sent-I-d46-a1-q6,"line 249, [^20]",apparatus,832,422,"6-pt small-caps Quaracchi paraphrase: ""ultra contingum"" read at low confidence","Verbatim transcription + best-effort English","Verify at 600dpi p.832 footer 20 — confirm ""contingum""",OPEN
d.46,bon-sent-I-d46-divisio,"line 149, [^5]",apparatus,820,410,"OCR garble ""cod. Z Aflflc positianem""; reconstructed as ""cod. Z *hanc positionem*"" by context","[?] flag noted","Verify at 600dpi p.820 footer 5",OPEN
d.47,bon-sent-I-d47-littera,"apparatus 5",apparatus,838,428,"Codex garble — flagged at promotion-time (2026-05-13)","carry from promotion","600dpi eyes-on p.838 footer 5",OPEN
d.47,bon-sent-I-d47-littera,"apparatus 6",apparatus,838,428,"Codex garble — flagged at promotion-time","carry from promotion","600dpi eyes-on p.838 footer 6",OPEN
d.47,bon-sent-I-d47-littera,"apparatus 8",apparatus,838,428,"Psalm citation — flagged at promotion-time","carry from promotion","600dpi eyes-on p.838 footer 8",OPEN
d.47,bon-sent-I-d47-a1-q1,"apparatus 15",apparatus,840,430,"Codex sigil garble at p.840","carry from promotion","600dpi eyes-on p.840 footer 15",OPEN
d.47,bon-sent-I-d47-a1-q2,"apparatus 12",apparatus,842,432,"Sentence-cut in footer 12","carry from promotion","600dpi eyes-on p.842 footer 12",OPEN
d.47,bon-sent-I-d47-a1-q2,"Scholion II",scholion,843,433,"""Petr. a Tar. hic [?]"" — citation tail","carry from promotion","600dpi eyes-on Scholion II — confirm Petrus a Tarantasia citation",OPEN
d.47,bon-sent-I-d47-a1-q3,"apparatus 1",apparatus,844,434,"*Iob* citation","carry from promotion","600dpi eyes-on p.844 footer 1 — confirm Job ref",OPEN
d.47,bon-sent-I-d47-a1-q3,"apparatus 14",apparatus,845,435,"Garbled cross-reference","carry from promotion","600dpi eyes-on p.845 footer 14",OPEN
d.47,bon-sent-I-d47-a1-q4,"apparatus 1",apparatus,846,436,"""filios fornicariae"" reading","carry from promotion","600dpi eyes-on p.846 footer 1",OPEN
d.47,bon-sent-I-d47-a1-q4,"apparatus 13",apparatus,847,437,"Editorial note — flagged at promotion","carry from promotion","600dpi eyes-on p.847 footer 13",OPEN
d.48,bon-sent-I-d48-littera,"apparatus 12",apparatus,851,441,"Corrupt tail of fn 5","carry from promotion","600dpi eyes-on p.851 footer 5/12",OPEN
d.48,bon-sent-I-d48-a1-q1,"Scholion I",scholion,853,443,"""q. 45. q. 2"" — citation","carry from promotion","600dpi eyes-on Scholion I — confirm tractate.question",OPEN
d.48,bon-sent-I-d48-a1-q1,"Scholion I",scholion,853,443,"""sanum"" — reading","carry from promotion","600dpi eyes-on Scholion I — confirm sanum",OPEN
d.48,bon-sent-I-d48-a1-q1,"Scholion I",scholion,853,443,"""modo volendi"" — reading","carry from promotion","600dpi eyes-on Scholion I — confirm phrase",OPEN
d.48,bon-sent-I-d48-a2-q1,"apparatus 8",apparatus,856,446,"Codex column split","carry from promotion","600dpi eyes-on p.856 footer 8",OPEN
d.48,bon-sent-I-d48-a2-q2,body,body,857,447,"""velle aliquia velle proprie"" — likely OCR garble","carry from promotion","600dpi eyes-on body p.857",OPEN
d.48,bon-sent-I-d48-a2-q2,body,body,857,447,"""si Deo placet""","carry from promotion","600dpi eyes-on body p.857",OPEN
d.48,bon-sent-I-d48-a2-q2,"Scholion II",scholion,858,448,"""m. 4. § 6."" — citation","carry from promotion","600dpi eyes-on Scholion II",OPEN
