chunk_id	volume	section	anchor_label	class	subclass	raw_text	normalized_target	confidence	resolution
bon-sent-I-d1-a3-q1	1	scholion		crossref	chain-continuation	d. 29. a. 1. q. 1.	bon-sent-III-d29-a1-q1		chunk
bon-sent-I-d1-a3-q1	1	scholion		crossref	relative	infra d. 14. q. 2	bon-sent-I-d14-a1-q2+bon-sent-I-d14-a2-q2		ambiguous
bon-sent-I-d1-a3-q1	1	scholion		crossref	relative	infra d. 46. q. 5.	bon-sent-I-d46-a1-q5		chunk
bon-sent-I-d1-a3-q1	1	scholion		crossref	relative	infra d. 48. q. 1	bon-sent-I-d48-a1-q1+bon-sent-I-d48-a2-q1		ambiguous
bon-sent-I-d1-a3-q1	1	apparatus:5	5	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d1-a3-q2	1	latin_body	11	scripture	body-ordinal	Exodi trigesimo tertio	Exod 33:19	B	verse
bon-sent-I-d1-a3-q2	1	scholion		crossref	logical	II. Sent. d. 38. a. 1. q. 2.	bon-sent-II-d38-a1-q2		chunk
bon-sent-I-d1-a3-q2	1	scholion		crossref	logical	II. Sent. d. 16. a. 1. q. 1.	bon-sent-II-d16-a1-q1		chunk
bon-sent-I-d1-a3-q2	1	scholion		crossref	logical	II. Sent. d. 8 p. II. a. 1. q. 2.	bon-sent-II-d8-p2-a1-q2		chunk
bon-sent-I-d1-a3-q2	1	apparatus:4	4	crossref	logical	II. Sent. d. 19. a. 1. q. 1.	bon-sent-II-d19-a1-q1		chunk
bon-sent-I-d1-a3-q2	1	apparatus:4	4	crossref	logical	II. Sent. d. 12. a. 2. q. 1.	bon-sent-II-d12-a2-q1		chunk
bon-sent-I-d1-a3-q2	1	apparatus:4	4	crossref	logical	III. Sent. d. 13. a. 1. q. 3.	bon-sent-III-d13-a1-q3		chunk
bon-sent-I-d1-a3-q2	1	apparatus:4	4	crossref	chain-continuation	d. 14. p. I. a. 3. q. 1.	bon-sent-II-d14-p1-a3-q1		chunk
bon-sent-I-d1-a3-q2	1	apparatus:19	19	crossref	logical	III. Sent. d. 13. a. 1. q. 3.	bon-sent-III-d13-a1-q3		chunk
bon-sent-I-d1-a3-q2	1	apparatus:21	21	scripture	apparatus-explicit	Matth. 25, 21	Matth 25:21	A	verse
bon-sent-I-d1-dubia	1	latin_body	19	scripture	body-ordinal	Ionae primo	Ionas 1:6	B	verse
bon-sent-I-d1-dubia	1	latin_body	22	scripture	body-ordinal	Ecclesiastici octavo	Eccli 8:10	B	verse
bon-sent-I-d1-dubia	1	latin_body	23	scripture	body-ordinal	Deuteronomii vigesimo octavo	Deut 28:41	B	verse
bon-sent-I-d1-dubia	1	apparatus:17	17	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d1-dubia	1	apparatus:29	29	crossref	relative	infra d. 3. p. 1. q. 2.	bon-sent-I-d3-p1-a1-q2		chunk
bon-sent-I-d1-dubia	1	apparatus:29	29	crossref	relative-inherited	ibid	bon-sent-I-d3-p1-a1-q2		chunk
bon-sent-I-d1-dubia	1	apparatus:32	32	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d1-littera	1	apparatus:6	6	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d1-littera	1	apparatus:6	6	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d1-littera	1	apparatus:7	7	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d1-littera	1	apparatus:14	14	scripture	apparatus-explicit	I. Cor. 13, 12	1Cor 13:12	A	verse
bon-sent-I-d1-littera	1	apparatus:16	16	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d1-littera	1	apparatus:18	18	scripture	apparatus-explicit	Ierem. 17, 5	Ierem 17:5	A	verse
bon-sent-I-d1-littera	1	apparatus:20	20	crossref	relative-bare	ibid			unresolvable
bon-sent-I-d1-littera	1	apparatus:22	22	scripture	apparatus-explicit	Psalm. 13, 2	Ps 13:2	A	verse
bon-sent-I-d10-a1-q1	1	scholion		authority	authority:Albert.	Sent. d. 13. a. 1			excluded
bon-sent-I-d10-a1-q1	1	scholion		crossref	relative	infra d. 18.	I:d18		distinctio
bon-sent-I-d10-a1-q1	1	scholion		crossref	relative	supra d. 6. q. 2.	bon-sent-I-d6-a1-q2		chunk
bon-sent-I-d10-a1-q1	1	scholion		crossref	relative	infra d. 31. a. 1. q. 2.	bon-sent-I-d31-p1-a1-q2+bon-sent-I-d31-p2-a1-q2		ambiguous
bon-sent-I-d10-a1-q1	1	apparatus:1	1	authority	authority:Scot.	III. Sent. d. 28.			excluded
bon-sent-I-d10-a1-q1	1	apparatus:6	6	crossref	relative	infra d. 27. p. II. q. 2.	bon-sent-I-d27-p2-a1-q2		chunk
bon-sent-I-d10-a1-q1	1	apparatus:16	16	crossref	relative	supra d. 6. q. 2.	bon-sent-I-d6-a1-q2		chunk
bon-sent-I-d10-a1-q2	1	latin_body	3	scripture	body-ordinal	Ioannis decimo septimo	Ioan 17:22	B	verse
bon-sent-I-d10-a1-q2	1	latin_body	4	scripture	body-ordinal	ad Romanos quinto	Rom 5:5	B	verse
bon-sent-I-d10-a1-q2	1	scholion		crossref	logical	I. Sent. d. 45. dub. 10.	bon-sent-I-d45-dubia		chunk
bon-sent-I-d10-a1-q2	1	scholion		authority	authority:Scot.	III. Sent. d. 26.			excluded
bon-sent-I-d10-a1-q2	1	scholion		authority	authority:Henr. Gand.	II. Sent. d. 24. a. 2. q. 3.			excluded
bon-sent-I-d10-a1-q2	1	scholion		authority	authority:Petr. a Tar.	III. Sent. d. 26. a. 7.			excluded
bon-sent-I-d10-a1-q2	1	scholion		authority	authority:Petr. a Tar.	III. Sent. d. 34.			excluded
bon-sent-I-d10-a1-q2	1	scholion		authority	authority:Petr. a Tar.	II. Sent. d. 25. p. I. q. 6.			excluded
bon-sent-I-d10-a1-q2	1	scholion		crossref	logical	III. Sent. d. 33. a. 1. q. 3.	bon-sent-III-d33-a1-q3		chunk
bon-sent-I-d10-a1-q2	1	scholion		authority	authority:Petr. a Tar.	d. 24. p. I. a. 2. q. 1			excluded
bon-sent-I-d10-a1-q2	1	scholion		crossref	relative	infra d. 32. q. 1.	bon-sent-I-d32-a1-q1+bon-sent-I-d32-a2-q1		ambiguous
bon-sent-I-d10-a1-q2	1	apparatus:2	2	crossref	relative	infra d. 18. q. 1.	bon-sent-I-d18-a1-q1		chunk
bon-sent-I-d10-a1-q2	1	apparatus:12	12	crossref	relative	supra d. 1. a. 2. q. 1.	bon-sent-I-d1-a2-q1		chunk
bon-sent-I-d10-a1-q3	1	latin_body	1	scripture	body-ordinal	Ioannis decimo septimo	Ioan 17:22	B	verse
bon-sent-I-d10-a1-q3	1	scholion		authority	authority:Scot.	I. Sent. d. 12. q. 1			excluded
bon-sent-I-d10-a1-q3	1	scholion		authority	authority:Biel	I. Sent. d. 12. q. 2.			excluded
bon-sent-I-d10-a1-q3	1	scholion		authority	authority:Scot.	d. 32. q. 1.			excluded
bon-sent-I-d10-a2-q1	1	scholion		authority	authority:S. Thom.	I. Sent. d. 27. q. 2			excluded
bon-sent-I-d10-a2-q1	1	apparatus:1	1	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d10-a2-q2	1	apparatus:5	5	scripture	apparatus-explicit	I. Cor. 2, 11	1Cor 2:11	A	verse
bon-sent-I-d10-a2-q3	1	latin_body	5	scripture	body-ordinal	Ioannis quarto	Ioan 4:24	B	verse
bon-sent-I-d10-a2-q3	1	latin_body	9	scripture	body-ordinal	Iob trigesimo secundo	Iob 32:8	B	verse
bon-sent-I-d10-a2-q3	1	latin_body	13	scripture	body-ordinal	Ioannis tertio	Ioan 3	C	chapter
bon-sent-I-d10-a2-q3	1	scholion		authority	authority:Scot.	I. Sent. d. 18.			excluded
bon-sent-I-d10-a2-q3	1	apparatus:6	6	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d10-dubia	1	latin_body	8	scripture	body-ordinal	Canticorum quinto	Cant 5:10	B	verse
bon-sent-I-d10-dubia	1	latin_body	9	scripture	body-ordinal	ad Corinthios quarto	Cor* 4:14	B	verse
bon-sent-I-d10-dubia	1	latin_body	16	scripture	body-ordinal	ad Colossenses tertio	Col 3:14	B	verse
bon-sent-I-d10-dubia	1	latin_body	3	crossref	relative-bare	ibid			unresolvable
bon-sent-I-d10-dubia	1	apparatus:5	5	scripture	apparatus-explicit	Ioan. 21, 15-17	Ioan 21:15-17	A	verse
bon-sent-I-d10-dubia	1	apparatus:9	9	crossref	relative	infra d. 17. p. I. dub. 1.	bon-sent-I-d17-p1-dubia		chunk
bon-sent-I-d10-littera	1	apparatus:2	2	scripture	apparatus-explicit	Ioan. 4, 16	Ioan 4:16	A	verse
bon-sent-I-d10-littera	1	apparatus:2	2	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d10-littera	1	apparatus:12	12	scripture	apparatus-explicit	Cor. 1, 24	Cor* 1:24	A	verse
bon-sent-I-d10-littera	1	apparatus:13	13	scripture	apparatus-explicit	Ioan. 4, 7	Ioan 4:7	A	verse
bon-sent-I-d10-littera	1	apparatus:20	20	scripture	apparatus-explicit	Ephes. 4, 8	Eph 4:8	A	verse
bon-sent-I-d10-littera	1	apparatus:21	21	scripture	apparatus-explicit	Ioan. 4, 16	Ioan 4:16	A	verse
bon-sent-I-d10-littera	1	apparatus:23	23	scripture	apparatus-explicit	Col. 1, 13	Col 1:13	A	verse
bon-sent-I-d2-a1-q1	1	latin_body		authority	authority:Richard. a Med.	I. Sent. d. 2. q. 3.			excluded
bon-sent-I-d2-a1-q1	1	latin_body		authority	authority:Scot.	I. Sent. d. 2. q. 3.			excluded
bon-sent-I-d2-a1-q1	1	latin_body		authority	authority:Durand.	I. Sent. d. 44. q. 3.			excluded
bon-sent-I-d2-a1-q1	1	latin_body		crossref	logical	II. Sent. d. 1. p. 1. a. 2. q. 1	bon-sent-II-d1-p1-a2-q1		chunk
bon-sent-I-d2-a1-q1	1	latin_body		crossref	chain-continuation	d. 23. a. 2. q. 3	bon-sent-I-d23-a2-q3		chunk
bon-sent-I-d2-a1-q1	1	latin_body		crossref	relative	infra d. 43. q. 2.	bon-sent-I-d43-a1-q2		chunk
bon-sent-I-d2-a1-q1	1	latin_body		crossref	relative	infra d. 4. q. 3	bon-sent-I-d4-a1-q3		chunk
bon-sent-I-d2-a1-q1	1	latin_body		crossref	work	Itiner.	work:itinerarium		work
bon-sent-I-d2-a1-q1	1	apparatus:12	12	scripture	apparatus-explicit	Rom. 11, 36	Rom 11:36	A	verse
bon-sent-I-d2-a1-q1	1	apparatus:12	12	crossref	relative	infra d. 36. dub. 4.	bon-sent-I-d36-dubia		chunk
bon-sent-I-d2-a1-q3	1	scholion		authority	authority:Scot.	I. Sent. d. 1. q. 1.			excluded
bon-sent-I-d2-a1-q3	1	scholion		authority	authority:Durand.	I. Sent. d. 10. q. 2.			excluded
bon-sent-I-d2-a1-q3	1	scholion		authority	authority:Biel	I. Sent. d. 10. q. 1.			excluded
bon-sent-I-d2-a1-q3	1	scholion		crossref	relative	infra d. 19. p. I.	I:d19		distinctio
bon-sent-I-d2-a1-q3	1	scholion		crossref	relative	infra d. 43.	I:d43		distinctio
bon-sent-I-d2-a1-q4	1	scholion		scripture	apparatus-explicit	Psal. 129	Ps 129	C	chapter
bon-sent-I-d2-a1-q4	1	scholion		crossref	logical	II. Sent. d. 16.	II:d16		distinctio
bon-sent-I-d2-a1-q4	1	scholion		authority	authority:S. Thom.	I. Sent. d. 10. q. 1.			excluded
bon-sent-I-d2-a1-q4	1	scholion		authority	authority:Albert.	I. Sent. d. 10. a. 12.			excluded
bon-sent-I-d2-a1-q4	1	scholion		authority	authority:Aegid.	I. Sent. d. 10.			excluded
bon-sent-I-d2-a1-q4	1	scholion		crossref	relative	infra d. 3. p. I. a. 1. q. 2.	bon-sent-I-d3-p1-a1-q2		chunk
bon-sent-I-d2-a1-q4	1	scholion		crossref	work	Hexaem.	work:hexaemeron		work
bon-sent-I-d2-a1-q4	1	apparatus:1	1	scripture	apparatus-explicit	Ioan. 16, 13	Ioan 16:13	A	verse
bon-sent-I-d2-a1-q4	1	apparatus:13	13	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d2-a1-q4	1	apparatus:18	18	authority	authority:Albert.	I. Sent. d. 26. a. 10.			excluded
bon-sent-I-d2-a1-q4	1	apparatus:23	23	crossref	relative	infra d. 13. q. 3.	bon-sent-I-d13-a1-q3		chunk
bon-sent-I-d2-divisio	1	apparatus:4	4	crossref	work	de mysterio Trinitatis	work:mysterio-trinitatis		work
bon-sent-I-d2-dubia	1	latin_body	23	scripture	body-ordinal	Proverbiorum octavo	Prov 8:25	B	verse
bon-sent-I-d2-dubia	1	latin_body	25	scripture	body-ordinal	Isaiae sexto	Isai 6:3	B	verse
bon-sent-I-d2-dubia	1	latin_body	27	scripture	body-ordinal	ad Galatas quarto	Gal 4:4	B	verse
bon-sent-I-d2-dubia	1	latin_body	28	scripture	body-ordinal	Genesis decimo octavo	Gen 18:2	B	verse
bon-sent-I-d2-dubia	1	latin_body	29	scripture	body-ordinal	Matthaei decimo septimo	Matth 17:3	B	verse
bon-sent-I-d2-dubia	1	apparatus:1	1	crossref	logical	II. Sent. d. 23. a. 2. q. 3.	bon-sent-II-d23-a2-q3		chunk
bon-sent-I-d2-dubia	1	apparatus:1	1	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d2-dubia	1	apparatus:1	1	crossref	work	Breviloq. p. V. c. 6	bon-brev-p5-c6		chunk
bon-sent-I-d2-dubia	1	apparatus:1	1	crossref	work	Itinerar.	work:itinerarium		work
bon-sent-I-d2-dubia	1	apparatus:1	1	crossref	work	Hexaem.	work:hexaemeron		work
bon-sent-I-d2-dubia	1	apparatus:9	9	crossref	relative	infra d. 22. q. 3.	bon-sent-I-d22-a1-q3		chunk
bon-sent-I-d2-dubia	1	apparatus:11	11	crossref	relative	infra d. 31. p. II. a. 1. q. 1.	bon-sent-I-d31-p2-a1-q1		chunk
bon-sent-I-d2-dubia	1	apparatus:17	17	crossref	relative	infra d. 24. a. 2. q. 1.	bon-sent-I-d24-a2-q1		chunk
bon-sent-I-d2-dubia	1	apparatus:21	21	scripture	apparatus-explicit	Matth. 28, 19	Matth 28:19	A	verse
bon-sent-I-d2-dubia	1	apparatus:24	24	scripture	apparatus-explicit	Gen. 1, 1	Gen 1:1	A	verse
bon-sent-I-d2-dubia	1	apparatus:25	25	scripture	apparatus-explicit	Is. 6, 3	Isai 6:3	A	verse
bon-sent-I-d2-dubia	1	apparatus:26	26	scripture	apparatus-explicit	Ps. 66, 6	Ps 66:6	A	verse
bon-sent-I-d2-dubia	1	apparatus:27	27	scripture	apparatus-explicit	Gal. 4, 4	Gal 4:4	A	verse
bon-sent-I-d2-dubia	1	apparatus:29	29	scripture	apparatus-explicit	Matth. 17, 3	Matth 17:3	A	verse
bon-sent-I-d2-dubia	1	apparatus:30	30	crossref	logical	II. Sent. d. 10. a. 3. q. 2.	bon-sent-II-d10-a3-q2		chunk
bon-sent-I-d2-dubia	1	apparatus:30	30	crossref	work	Hexaem.	work:hexaemeron		work
bon-sent-I-d2-littera	1	apparatus:9	9	scripture	apparatus-explicit	Psalm. 104, 4	Ps 104:4	A	verse
bon-sent-I-d2-littera	1	apparatus:18	18	scripture	apparatus-explicit	Deut. 6, 4	Deut 6:4	A	verse
bon-sent-I-d2-littera	1	apparatus:19	19	scripture	apparatus-explicit	Exod. 20, 2	Exod 20:2	A	verse
bon-sent-I-d2-littera	1	apparatus:21	21	scripture	apparatus-explicit	Exod. 3, 14	Exod 3:14	A	verse
bon-sent-I-d2-littera	1	apparatus:22	22	scripture	apparatus-explicit	Exod. 15, 3	Exod 15:3	A	verse
bon-sent-I-d2-littera	1	apparatus:23	23	scripture	apparatus-explicit	Gen. 1, 26	Gen 1:26	A	verse
bon-sent-I-d2-littera	1	apparatus:29	29	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d2-littera	1	apparatus:35	35	scripture	apparatus-explicit	Gen. 1, 1	Gen 1:1	A	verse
bon-sent-I-d2-littera	1	apparatus:37	37	scripture	apparatus-explicit	Gen. 1, 1	Gen 1:1	A	verse
bon-sent-I-d2-littera	1	apparatus:38	38	scripture	apparatus-explicit	Gen. 3, 5	Gen 3:5	A	verse
bon-sent-I-d2-littera	1	apparatus:39	39	scripture	apparatus-explicit	Psalm. 118, 100	Ps 118:100	A	verse
bon-sent-I-d2-littera	1	apparatus:40	40	scripture	apparatus-explicit	Psalm. 67, 6	Ps 67:6	A	verse
bon-sent-I-d2-littera	1	apparatus:41	41	scripture	apparatus-explicit	Psalm. 80, 9	Ps 80:9	A	verse
bon-sent-I-d2-littera	1	apparatus:44	44	scripture	apparatus-explicit	Psalm. 32, 6	Ps 32:6	A	verse
bon-sent-I-d2-littera	1	apparatus:45	45	scripture	apparatus-explicit	Psalm. 66, 7	Ps 66:7	A	verse
bon-sent-I-d2-littera	1	apparatus:45	45	scripture	apparatus-explicit	Gen. 3, 5	Gen 3:5	A	verse
bon-sent-I-d2-littera	1	apparatus:45	45	scripture	apparatus-explicit	Psalm. 32, 6	Ps 32:6	A	verse
bon-sent-I-d2-littera	1	apparatus:45	45	scripture	apparatus-explicit	Isai. 6, 3	Isai 6:3	A	verse
bon-sent-I-d2-littera	1	apparatus:45	45	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d2-littera	1	apparatus:46	46	scripture	apparatus-explicit	Isai. 6, 3	Isai 6:3	A	verse
bon-sent-I-d2-littera	1	apparatus:47	47	scripture	apparatus-explicit	Psalm. 2, 7	Ps 2:7	A	verse
bon-sent-I-d2-littera	1	apparatus:49	49	scripture	apparatus-explicit	Prov. 8, 22–30	Prov 8:22-30	A	verse
bon-sent-I-d2-littera	1	apparatus:51	51	scripture	apparatus-explicit	Eccli. 24, 5	Eccli 24:5	A	verse
bon-sent-I-d2-littera	1	apparatus:52	52	scripture	apparatus-explicit	Mich. 5, 2	Mich 5:2	A	verse
bon-sent-I-d2-littera	1	apparatus:53	53	scripture	apparatus-explicit	Psalm. 138, 7	Ps 138:7	A	verse
bon-sent-I-d2-littera	1	apparatus:55	55	scripture	apparatus-explicit	Habac. 3, 2	Habac 3:2	A	verse
bon-sent-I-d2-littera	1	apparatus:55	55	scripture	apparatus-explicit	Isai. 6, 6	Isai 6:6	A	verse
bon-sent-I-d2-littera	1	apparatus:56	56	scripture	apparatus-explicit	Matth. 28, 19	Matth 28:19	A	verse
bon-sent-I-d2-littera	1	apparatus:56	56	scripture	apparatus-explicit	Ioan. 10, 30	Ioan 10:30	A	verse
bon-sent-I-d2-littera	1	apparatus:58	58	scripture	apparatus-explicit	Galat. 4, 6	Gal 4:6	A	verse
bon-sent-I-d2-littera	1	apparatus:59	59	scripture	apparatus-explicit	Rom. 8, 11	Rom 8:11	A	verse
bon-sent-I-d3-littera	1	apparatus:1	1	scripture	apparatus-explicit	Rom. 1, 20	Rom 1:20	A	verse
bon-sent-I-d3-littera	1	apparatus:14	14	scripture	apparatus-explicit	Gen. 1, 3	Gen 1:3	A	verse
bon-sent-I-d3-littera	1	apparatus:15	15	scripture	apparatus-explicit	Exod. 8, 18	Exod 8:18	A	verse
bon-sent-I-d3-littera	1	apparatus:36	36	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d3-littera	1	apparatus:45	45	crossref	relative-bare	ibid.			unresolvable
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	II. Sent. d. 23. a. 2. q. 3	bon-sent-II-d23-a2-q3		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	III. Sent. d. 14. a. 1. q. 3.	bon-sent-III-d14-a1-q3		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	I. Sent. d. 17. p. I. dub. 2.	bon-sent-I-d17-p1-dubia		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	II. Sent. d. 24. p. I. a. 2. q. 4	bon-sent-II-d24-p1-a2-q4		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	IV. Sent. d. 49. q. 2.	bon-sent-IV-d49-p1-a1-q2+bon-sent-IV-d49-p2-s1-a1-q2+bon-sent-IV-d49-p2-s1-a2-q2+bon-sent-IV-d49-p2-s1-a3-q2+bon-sent-IV-d49-p2-s2-a1-q2+bon-sent-IV-d49-p2-s2-a2-q2+bon-sent-IV-d49-p2-s2-a3-q2+bon-sent-IV-d49-p2-s2-a4-q2		ambiguous
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Scot.	I. Sent. d. 3. q. 4.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Richard. a Med.	II. Sent. d. 24. a. 2. q. 4			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Bonav.	II. Sent. d. 16. a. 1. q. 1			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:S. Thom.	II. Sent. d. 10. a. 1. q. 1.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	II. Sent. d. 39. a. 1. q. 2.	bon-sent-II-d39-a1-q2		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:S. Thom.	I. Sent. d. 3. q. 1.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Bonav.	II. Sent. d. 3. p. II. a. 2. q. 2.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	logical	III. Sent. d. 14. a. 2. q. 1.	bon-sent-III-d14-a2-q1		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Albert.	I. Sent. d. 1. a. 15			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Biel	I. Sent. d. 2. q. 9.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	chain-continuation	d. 17. a. 1. q. 1.	bon-sent-II-d17-a1-q1		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:Biel	d. 3.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		authority	authority:S. Thom.	ibid. d. 3. p. II. a. 2. q. 2.			excluded
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	relative	infra d. 17. p. I. q. 4	bon-sent-I-d17-p1-a1-q4		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	relative	infra d. 17. p. II. q. 4.	bon-sent-I-d17-p2-a1-q4		chunk
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	work	Itiner.	work:itinerarium		work
bon-sent-I-d3-p1-a1-q1	1	scholion		crossref	work	Hexaem.	work:hexaemeron		work
bon-sent-I-d3-p1-a1-q1	1	apparatus:11	11	crossref	relative	infra d. 17. p. I. dub. 2.	bon-sent-I-d17-p1-dubia		chunk
bon-sent-I-d3-p1-a1-q1	1	apparatus:16	16	crossref	logical	II. Sent. d. 23. a. 2. q. 3.	bon-sent-II-d23-a2-q3		chunk
bon-sent-I-d3-p1-a1-q1	1	apparatus:26	26	crossref	relative-bare	loc. cit.			unresolvable
bon-sent-I-d3-p1-a1-q2	1	latin_body	1	scripture	body-ordinal	Sapientiae decimo quarto	Sap 14:11	B	verse
bon-sent-I-d3-p1-a1-q2	1	latin_body	6	scripture	body-ordinal	Sapientiae decimo tertio	Sap 13:5	B	verse
bon-sent-I-d3-p1-a1-q2	1	scholion		authority	authority:Bonav.	I. Sent. d. 37. p. I. a. 2. q. 1.			excluded
bon-sent-I-d3-p1-a1-q2	1	scholion		crossref	logical	II. Sent. d. 38. a. 2. q. 1	bon-sent-II-d38-a2-q1		chunk
bon-sent-I-d3-p1-a1-q2	1	scholion		authority	authority:Bonav.	II. Sent. d. 3. p. II. a. 2. q. 2.			excluded
bon-sent-I-d3-p1-a1-q2	1	scholion		crossref	work	Breviloq. p. II. c. 1.	bon-brev-p2-c1		chunk
bon-sent-I-d3-p1-a1-q2	1	scholion		crossref	work	Hexaem.	work:hexaemeron		work
